Kp,Ki,dx_f,time_recognized
3.00,0.07,15.0,19.98
3.00,0.07,20.0,19.98
3.00,0.07,25.0,19.95
3.00,0.07,30.0,19.98
3.00,0.08,5.0,20.04
3.00,0.08,10.0,19.94
3.00,0.08,15.0,20.00
3.00,0.08,20.0,19.96
3.00,0.08,25.0,19.98
3.00,0.08,30.0,20.00
3.00,0.09,5.0,20.00
3.00,0.09,10.0,20.05
3.00,0.09,15.0,19.90
3.00,0.09,20.0,20.03
3.00,0.09,25.0,19.92
3.00,0.09,30.0,20.00
3.00,0.10,5.0,19.95
3.00,0.10,10.0,19.97
3.00,0.10,15.0,20.01
3.00,0.10,20.0,19.92
3.00,0.10,25.0,19.93
3.00,0.10,30.0,19.66
3.50,0.01,5.0,19.93
3.50,0.01,10.0,19.99
3.50,0.01,15.0,20.00
3.50,0.01,20.0,20.04
3.50,0.01,25.0,20.00
3.50,0.01,30.0,20.00
3.50,0.02,5.0,19.96
3.50,0.02,10.0,19.99
3.50,0.02,15.0,19.90
3.50,0.02,20.0,19.87
3.50,0.02,25.0,19.98
3.50,0.02,30.0,19.85
3.50,0.03,5.0,19.88
3.50,0.03,10.0,19.97
3.50,0.03,15.0,19.96
3.50,0.03,20.0,20.03
3.50,0.03,25.0,19.96
3.50,0.03,30.0,20.03
3.50,0.04,5.0,19.93
3.50,0.04,10.0,19.98
3.50,0.04,15.0,19.94
3.50,0.04,20.0,19.86
3.50,0.04,25.0,19.89
3.50,0.04,30.0,19.91
3.50,0.05,5.0,19.85
3.50,0.05,10.0,20.01
3.50,0.05,15.0,19.88
3.50,0.05,20.0,19.77
3.50,0.05,25.0,19.83
3.50,0.05,30.0,19.96
3.50,0.06,5.0,20.00
3.50,0.06,10.0,19.95
3.50,0.06,15.0,20.02
3.50,0.06,20.0,19.96
3.50,0.06,25.0,7.77
3.50,0.06,30.0,19.90
3.50,0.07,5.0,19.94
3.50,0.07,10.0,19.90
3.50,0.07,15.0,19.78
3.50,0.07,20.0,19.99
3.50,0.07,25.0,19.81
3.50,0.07,30.0,6.39
3.50,0.08,5.0,19.98
3.50,0.08,10.0,20.00
3.50,0.08,15.0,19.86
3.50,0.08,20.0,19.93
3.50,0.08,25.0,19.97
3.50,0.08,30.0,7.69
3.50,0.09,5.0,20.03
3.50,0.09,10.0,19.97
3.50,0.09,15.0,16.56
3.50,0.09,20.0,19.97
3.50,0.09,25.0,8.89
3.50,0.09,30.0,19.98
3.50,0.10,5.0,19.97
3.50,0.10,10.0,19.97
3.50,0.10,15.0,19.96
3.50,0.10,20.0,19.99
3.50,0.10,25.0,14.25
3.50,0.10,30.0,19.98
4.00,0.01,5.0,20.00
4.00,0.01,10.0,19.95
4.00,0.01,15.0,19.91
4.00,0.01,20.0,19.99
4.00,0.01,25.0,19.98
4.00,0.01,30.0,19.99
4.00,0.02,5.0,19.99
4.00,0.02,10.0,20.01
4.00,0.02,15.0,19.88
4.00,0.02,20.0,19.98
4.00,0.02,25.0,19.95
4.00,0.02,30.0,7.76
4.00,0.03,5.0,19.98
4.00,0.03,10.0,19.93
4.00,0.03,15.0,19.98
4.00,0.03,20.0,19.96
4.00,0.03,25.0,8.30
4.00,0.03,30.0,19.99
4.00,0.04,5.0,19.95
4.00,0.04,10.0,19.99
4.00,0.04,15.0,19.98
4.00,0.04,20.0,20.03
4.00,0.04,25.0,19.90
4.00,0.04,30.0,6.80
4.00,0.05,5.0,19.96
4.00,0.05,10.0,19.86
4.00,0.05,15.0,19.97
4.00,0.05,20.0,19.99
4.00,0.05,25.0,20.00
4.00,0.05,30.0,8.12
